"STRATEGY","REBAL_FREQ","FORMATION_PERIOD","SHARPE","RET"
"MOM_0",2,17,0.927361689178464,0.198264769550965
"MOM_1",2,17,0.951114442522395,0.201817257197781
"MOM_0",3,17,0.879027967743034,0.188468307793476
"MOM_1",3,17,0.850476096618346,0.178980882418853
"MOM_0",4,17,0.880349745532364,0.192703265783235
"MOM_1",4,17,0.89897542823979,0.195878658706533
"MOM_0",5,17,0.887545583779483,0.182861185184993
"MOM_1",5,17,0.968505303547753,0.195786306796457
"MOM_0",6,17,0.914436982411848,0.196565934648933
"MOM_1",6,17,0.852164423437894,0.178496513574136
"MOM_0",7,17,0.775895317718451,0.150261579635739
"MOM_1",7,17,0.853035850523418,0.163172564233189
"MOM_0",8,17,0.893732426403785,0.184535738295047
"MOM_1",8,17,0.884020837861729,0.189097897488574
"MOM_0",9,17,0.765371358677134,0.156952501480246
"MOM_1",9,17,0.781431130002906,0.15533757904047
"MOM_0",10,17,0.837400367657775,0.171132415706777
"MOM_1",10,17,0.86942538520856,0.179620625868648
"MOM_0",11,17,0.949351087366321,0.20640367421111
"MOM_1",11,17,0.924374374187578,0.198582602905015
"MOM_0",12,17,0.776124205598412,0.161840970869704
"MOM_1",12,17,0.60615746157805,0.132408311987044
"MOM_0",1,18,0.981800254796397,0.209579536773041
"MOM_1",1,18,0.986891258733056,0.208304647262901
"MOM_0",2,18,0.989749461979646,0.208693270746746
"MOM_1",2,18,0.948640082558431,0.200753863995412
"MOM_0",3,18,0.809444404855058,0.179442661606858
"MOM_1",3,18,0.747778953734486,0.159934324542617
"MOM_0",4,18,0.865996938995577,0.187297370706552
"MOM_1",4,18,0.92909005999628,0.197626714502253
"MOM_0",5,18,0.841086154997621,0.175450129044544
"MOM_1",5,18,0.839202810524805,0.179565445375009
"MOM_0",6,18,0.918703517309619,0.196589958275522
"MOM_1",6,18,0.866927501323046,0.183090083881896
"MOM_0",7,18,0.781535123563928,0.156078191636608
"MOM_1",7,18,0.817216237385517,0.163143191332607
"MOM_0",8,18,0.77697438037028,0.160958186469448
"MOM_1",8,18,0.81626413844978,0.175673705278873
"MOM_0",9,18,0.778047298430576,0.159150348913728
"MOM_1",9,18,0.752871223278134,0.155471905033116
"MOM_0",10,18,0.944403111803768,0.18790331580185
"MOM_1",10,18,0.885428620118108,0.184237807274628
"MOM_0",11,18,0.851094619938755,0.189312000754135
"MOM_1",11,18,0.94661523891362,0.205790041139193
"MOM_0",12,18,0.79934913016961,0.166857409482843
"MOM_1",12,18,0.673721702891776,0.146431084057469
"MOM_0",1,19,0.902471785379477,0.191855832146883
"MOM_1",1,19,0.853690232284708,0.185407252340075
"MOM_0",2,19,0.883339006848831,0.190821527113795
"MOM_1",2,19,0.866933749886931,0.189417409067718
"MOM_0",3,19,0.812493036182328,0.179063938560042
"MOM_1",3,19,0.704154227818857,0.150067221492126
"MOM_0",4,19,0.870523179499383,0.191615475587704
"MOM_1",4,19,0.933564451801728,0.197705736963292
"MOM_0",5,19,0.671756724610113,0.144247905156657
"MOM_1",5,19,0.716696475678556,0.155964256624936
"MOM_0",6,19,0.814697321760496,0.178330244592836
"MOM_1",6,19,0.811412720977934,0.172672479949822
"MOM_0",7,19,0.814134200669176,0.16632781158162
"MOM_1",7,19,0.863300680029753,0.176074493545895
"MOM_0",8,19,0.794953082834095,0.161901294847488
"MOM_1",8,19,0.833073307957043,0.176924354017087
"MOM_0",9,19,0.65335680500776,0.132154355332298
"MOM_1",9,19,0.729460984308266,0.146303181219269
"MOM_0",10,19,0.719908596073316,0.152773055427909
"MOM_1",10,19,0.667913821265649,0.146315307480252
"MOM_0",11,19,0.727975986339141,0.168754561238287
"MOM_1",11,19,0.836953670858467,0.190541861800473
"MOM_0",12,19,0.769570673520209,0.160767153544442
"MOM_1",12,19,0.658693973495837,0.144027971908716
"MOM_0",1,20,0.845636644217231,0.189685155210723
"MOM_1",1,20,0.920230427153672,0.201059054011688
"MOM_0",2,20,0.845451665497384,0.188873342003018
"MOM_1",2,20,0.960321278941655,0.202478291478574
"MOM_0",3,20,0.870101570229789,0.191583532409077
"MOM_1",3,20,0.84534823466638,0.179762701873217
"MOM_0",4,20,0.918954161501476,0.202308441220847
"MOM_1",4,20,1.05159027593906,0.223364379251878
"MOM_0",5,20,0.673654171812653,0.14795391704821
"MOM_1",5,20,0.75932283848866,0.166947865627236
"MOM_0",6,20,0.890693076256106,0.193262204239993
"MOM_1",6,20,0.908243110519591,0.192530573802971
"MOM_0",7,20,0.822715276043929,0.169143561210214
"MOM_1",7,20,0.817436785344394,0.167011433948459
"MOM_0",8,20,0.83635718892176,0.173715243802924
"MOM_1",8,20,0.945981908175027,0.196493377430639
"MOM_0",9,20,0.705617437920073,0.145983116835866
"MOM_1",9,20,0.736880835627214,0.153080419102077
"MOM_0",10,20,0.615500499609311,0.134270366531081
"MOM_1",10,20,0.65600390417149,0.144697375782034
"MOM_0",11,20,0.772771568028037,0.173253610889231
"MOM_1",11,20,0.871404344273988,0.188737694272796
"MOM_0",12,20,0.813819241840384,0.171498366031104
"MOM_1",12,20,0.717888426706815,0.157894740550359
"MOM_0",1,21,0.85109999059861,0.187442408718796
"MOM_1",1,21,0.974172245636595,0.209126551560789
"MOM_0",2,21,0.838916875584602,0.183060454411438
"MOM_1",2,21,0.928277328059566,0.200355397934201
"MOM_0",3,21,0.779950804400132,0.169556749467851
"MOM_1",3,21,0.799326639635486,0.172173645633332
"MOM_0",4,21,0.978138250936961,0.210226691991423
"MOM_1",4,21,0.99832995403039,0.211314991157377
"MOM_0",5,21,0.733191873471048,0.158771518420559
"MOM_1",5,21,0.807615566518598,0.177838286909664
"MOM_0",6,21,0.8282103585363,0.181159480477353
"MOM_1",6,21,0.844317085957449,0.181525973886051
"MOM_0",7,21,0.902147280687077,0.181401847401144
"MOM_1",7,21,0.940016757110887,0.188940379717185
"MOM_0",8,21,0.816760356388521,0.166215634207037
"MOM_1",8,21,0.865276773627415,0.179568023192342
"MOM_0",9,21,0.723226236904949,0.142637051998163
"MOM_1",9,21,0.804060380484758,0.15881494344383
"MOM_0",10,21,0.666791129832193,0.142554005605655
"MOM_1",10,21,0.696793109211223,0.152073820137016
"MOM_0",11,21,0.757594030336995,0.167764059844222
"MOM_1",11,21,0.92692788925075,0.202147207197042
"MOM_0",12,21,0.879105732562572,0.179277692238631
"MOM_1",12,21,0.689447037447753,0.152900757927108
"MOM_0",1,22,0.837263165057122,0.181195076507679
"MOM_1",1,22,0.985053835575057,0.213108606561178
"MOM_0",2,22,0.814287574041792,0.177148853013074
"MOM_1",2,22,0.853916591428697,0.190842702014817
"MOM_0",3,22,0.744195879772605,0.163661254241593
"MOM_1",3,22,0.803739579256917,0.174212358189472
"MOM_0",4,22,0.834794764752826,0.183020710768209
"MOM_1",4,22,0.939246036704882,0.199085924504743
"MOM_0",5,22,0.760348249161675,0.163156608620143
"MOM_1",5,22,0.813755499775353,0.17241012228032
"MOM_0",6,22,0.746870173684883,0.162617955412725
"MOM_1",6,22,0.805575913490152,0.1717692100219
"MOM_0",7,22,0.845084826554835,0.169195322938974
"MOM_1",7,22,0.870033989587842,0.173810400699173
"MOM_0",8,22,0.850313612562285,0.172583076621911
"MOM_1",8,22,0.904286819646967,0.185408286357494
"MOM_0",9,22,0.674262117923828,0.137530871226346
"MOM_1",9,22,0.720920212366771,0.14545207174095
"MOM_0",10,22,0.652654136684753,0.139927580596564
"MOM_1",10,22,0.659556431634286,0.142111127637168
"MOM_0",11,22,0.682181467935363,0.153348215049575
"MOM_1",11,22,0.851181838404843,0.187273277076911
"MOM_0",12,22,0.725990782580022,0.149667127361731
"MOM_1",12,22,0.636392404518825,0.136691187955766
"MOM_0",1,23,0.90313684734266,0.19913740442925
"MOM_1",1,23,0.924247808875741,0.205087273024586
"MOM_0",2,23,0.855163137192674,0.192252082308977
"MOM_1",2,23,0.913201575540302,0.199164903675601
"MOM_0",3,23,0.794443220598729,0.175871861030639
"MOM_1",3,23,0.840101269872925,0.185828803938522
"MOM_0",4,23,0.866868430786968,0.192938414285121
"MOM_1",4,23,0.921112984572977,0.195935538745989
"MOM_0",5,23,0.72986850286519,0.1625271472778
"MOM_1",5,23,0.815383882379987,0.172694339442087
"MOM_0",6,23,0.778054364508694,0.170323755832672
"MOM_1",6,23,0.844674827147087,0.181220948746202
"MOM_0",7,23,0.897356213931717,0.183363787167346
"MOM_1",7,23,0.907590319940908,0.184863143702229
"MOM_0",8,23,0.853161736093127,0.176232976703572
"MOM_1",8,23,0.850287051007264,0.173653031048252
"MOM_0",9,23,0.71122933468759,0.149629251868263
"MOM_1",9,23,0.7732921209457,0.159502597448771
"MOM_0",10,23,0.63933980620603,0.139191807471985
"MOM_1",10,23,0.674355554269672,0.144852258245855
"MOM_0",11,23,0.735705729971937,0.157686349589649
"MOM_1",11,23,0.851033742513156,0.180554377360039
"MOM_0",12,23,0.781534612881264,0.167687069572321
"MOM_1",12,23,0.656650973636437,0.143887420550753
"MOM_0",1,24,0.893226774612735,0.202392673850966
"MOM_1",1,24,0.975048750057651,0.216948732141759
"MOM_0",2,24,0.832850760925325,0.192101780038927
"MOM_1",2,24,0.938013703939401,0.207454341300187
