Date,Quant Model NAV
2012-01-30,286.2294108
2012-01-31,291.6271925
2012-02-01,292.9934071
2012-02-02,297.0062024
2012-02-03,299.3971599
2012-02-06,300.8764082
2012-02-07,298.9058686
2012-02-08,300.8688838
2012-02-09,302.6584963
2012-02-10,303.7704726
2012-02-13,304.9193405
2012-02-14,304.4830585
2012-02-15,308.7734538
2012-02-16,309.7037446
2012-02-17,310.2722659
2012-02-20,310.2722659
2012-02-21,311.6079488
2012-02-22,307.2181799
2012-02-23,307.2219337
2012-02-24,305.0122028
2012-02-27,299.6622186
2012-02-28,304.1263098
2012-02-29,304.4806071
2012-03-01,303.3633681
2012-03-02,304.3799326
2012-03-05,301.4443121
2012-03-06,300.1281888
2012-03-07,301.2681884
2012-03-08,301.2681884
2012-03-09,304.3676074
2012-03-12,304.053619
2012-03-13,306.0137752
2012-03-14,306.3996497
2012-03-15,303.8482213
2012-03-16,302.734414
2012-03-19,300.5350589
2012-03-20,302.820573
2012-03-21,306.7108128
2012-03-22,301.7034435
2012-03-23,305.2872408
2012-03-26,301.1125533
2012-03-27,304.1024834
2012-03-28,302.3753976
2012-03-29,304.1076785
2012-03-30,310.1649321
2012-04-02,312.4366199
2012-04-03,313.9270006
2012-04-04,312.0816594
2012-04-05,312.0816594
2012-04-06,312.0816594
2012-04-09,309.1071144
2012-04-10,309.39221
2012-04-11,308.9338269
2012-04-12,310.0407924
2012-04-13,306.6754963
2012-04-16,307.0916874
2012-04-17,308.084279
2012-04-18,309.7456281
2012-04-19,312.7460611
2012-04-20,311.7845635
2012-04-23,308.9157806
2012-04-24,311.0801986
2012-04-25,309.1765382
2012-04-26,308.0868021
2012-04-27,308.5459561
2012-04-30,311.5621405
2012-05-01,311.5621405
2012-05-02,313.0914455
2012-05-03,312.8436919
2012-05-04,309.2105278
2012-05-07,309.2309483
2012-05-08,303.8710107
2012-05-09,303.5587598
2012-05-10,303.2591894
2012-05-11,301.3360737
2012-05-14,301.8100678
2012-05-15,303.6508127
2012-05-16,300.7660982
2012-05-17,300.6506414
2012-05-18,300.7063419
2012-05-21,299.6311217
2012-05-22,297.2859569
2012-05-23,296.1005945
2012-05-24,299.8005578
2012-05-25,299.6294374
2012-05-28,302.7892187
2012-05-29,303.1504883
2012-05-30,301.9414764
2012-05-31,303.4594719
2012-06-01,297.5682906
2012-06-04,296.166065
2012-06-05,297.3603717
2012-06-06,303.3960314
2012-06-07,306.0990155
2012-06-08,306.0709487
2012-06-11,305.0748662
2012-06-12,307.1700702
2012-06-13,306.7729093
2012-06-14,304.6999223
2012-06-15,307.1822809
2012-06-18,304.9995177
2012-06-19,306.4837132
2012-06-20,307.1326168
2012-06-21,309.4002119
2012-06-22,309.9768801
2012-06-25,308.634854
2012-06-26,310.3659679
2012-06-27,311.9799541
2012-06-28,312.9187361
2012-06-29,318.7979324
2012-07-02,319.441003
2012-07-03,320.076798
2012-07-04,320.5932614
2012-07-05,321.3916161
2012-07-06,320.3225998
2012-07-09,317.3363694
2012-07-10,319.6374546
2012-07-11,318.3975724
2012-07-12,315.2800143
2012-07-13,314.9291431
2012-07-16,314.0787566
2012-07-17,314.0449021
2012-07-18,316.0862507
2012-07-19,317.3315828
2012-07-20,317.8651218
2012-07-23,313.9118137
2012-07-24,314.7312581
2012-07-25,313.9548388
2012-07-26,311.600518
2012-07-27,314.2824791
2012-07-30,317.7554312
2012-07-31,319.7729966
2012-08-01,320.8279613
2012-08-02,321.9572294
2012-08-03,322.6006554
2012-08-06,324.2427538
2012-08-07,326.2209149
2012-08-08,326.7533358
2012-08-09,326.5984711
2012-08-10,326.1602074
2012-08-13,329.2153933
2012-08-14,328.5140995
2012-08-15,328.5140995
2012-08-16,326.9639894
2012-08-17,328.0456493
2012-08-20,328.0456493
2012-08-21,330.8386049
2012-08-22,330.1668372
2012-08-23,330.6179003
2012-08-24,330.5340958
2012-08-27,330.1819789
2012-08-28,329.5919226
2012-08-29,328.5860466
2012-08-30,330.7981833
