IndexName,URL,FactsheetURL,BaseDate,LaunchDate,FundName,SchemeCode,FundStartDate,MatchScore,TotalAUM_Cr,IndexSchemeCount,AUM_Period
Nifty Non-Cyclical Consumer Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-non--cyclical-consumer,https://www.niftyindices.com/Factsheet/Factsheet_NiftyNonCyclicalConsumer.pdf,2005-04-01,2021-11-17,NO MATCH,,,0,408.69,2,2026-03-31
NIFTY SERVICES SECTOR,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-services-sector,https://www.niftyindices.com/Factsheet/ind_nifty_services_sector.pdf,1999-06-01,Not in factsheet,NO MATCH,,,0,0.00,0,
NIFTY SHARIAH 25,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-shariah25,https://www.niftyindices.com/Factsheet/Factsheet_nifty_Shariah25.pdf,2009-01-01,2014-05-12,NO MATCH,,,0,0.00,0,
NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-corporate-group-index---tata-group,https://www.niftyindices.com/Factsheet/Ind_NIFTY_TATA_GROUP.pdf,2005-04-01,2015-12-16,NO MATCH,,,0,0.00,0,
NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-india-corporate-group-index---tata-group-25-cap,https://www.niftyindices.com/Factsheet/Ind_NIFTY_TATA_GROUP_25_Cap.pdf,2005-04-01,2015-12-16,NO MATCH,,,0,0.00,0,
Nifty Transportation & Logistics,https://www.niftyindices.com/indices/equity/thematic-indices/nifty--transportation-logistics,https://www.niftyindices.com/Factsheet/Factsheet_NiftyTransportationAndLogistics.pdf,2005-04-01,2022-02-22,NO MATCH,,,0,0.00,0,
NIFTY100 LIQUID 15,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-100-liquid-15,https://www.niftyindices.com/Factsheet/Nifty100_Liquid_15.pdf,2009-01-01,2013-07-08,NO MATCH,,,0,0.00,0,
NIFTY50 SHARIAH,https://www.niftyindices.com/indices/equity/thematic-indices/nifty50-shariah,https://www.niftyindices.com/Factsheet/Factsheet_Nifty50_Shariah.pdf,2006-12-29,2008-02-19,NO MATCH,,,0,0.00,0,
NIFTY500 SHARIAH,https://www.niftyindices.com/indices/equity/thematic-indices/nifty500-shariah,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500_Shariah.pdf,2006-12-29,2008-02-19,UTI Nifty500 Shariah Index Fund - Direct Plan Growth Option,154197,2026-02-26,116,2476.15,2,2026-03-31
NIFTY500 MULTICAP INDIA MANUFATURING 50:30:20,https://www.niftyindices.com/indices/equity/thematic-indices/nifty500-multicap-india-manufacturing-503020,https://www.niftyindices.com/Factsheet/Nifty500_Multicap_India_Manufacturing_50_30_20.pdf,2005-04-01,2024-03-06,NO MATCH,,,0,0.00,0,
NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,https://www.niftyindices.com/indices/equity/thematic-indices/nifty500-multicap-infrastructure-503020,https://www.niftyindices.com/Factsheet/Nifty500_Multicap_Infrastructure_50_30_20.pdf,2005-04-01,2024-03-06,Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund - Direct Plan - Growth,152595,2024-04-30,141,7097.59,4,2026-03-31
NIFTY SME EMERGE,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-sme-emerge,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY_SME_EMERGE_Index.pdf,2016-12-01,2017-11-20,NO MATCH,,,0,0.00,0,
Nifty Waves,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-waves,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Waves.pdf,2005-04-01,2025-05-02,NO MATCH,,,0,0.00,0,
NIFTY 100 EQUAL WEIGHT,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-100-equal-weight,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_100_EW_Index.pdf,2003-01-01,2013-06-10,HDFC Nifty 100 Equal Weight Index Fund - Direct Plan - Growth Option,149870,2022-02-23,116,44733.17,6,2026-03-31
