"ticker","st","ed","min_daily_return_val","min_daily_return_date","ret_1","ret_5","ret_10","ret_20","ret_50","ret_100","ret_200"
"LUXIND",2016-01-01,2025-03-11,-0.199994318067446,2022-01-25,-0.00614854257859043,0.0222660935046017,0.0128834764186307,-0.0860788822947134,-0.142392608400742,-0.389007430180448,-0.40270821395679
"MAANALU",2016-01-01,2025-03-11,-0.199769201179638,2020-03-23,-0.077231212946643,-0.0286813010735457,0.100624899855792,0.30700208299952,0.592533247876944,1.66623938471399,3.30011216151258
"MANAKCOAT",2016-01-01,2025-03-11,-0.368430792005922,2020-04-01,0,0.20836298187602,0.416684106985894,0.500020928383073,0.791678874890126,0.854171026746473,2.81252354443096
"MANGALAM",2016-01-01,2025-03-11,-0.193140794223827,2019-02-12,-0.063758389261745,-0.0413870246085013,0.059284116331096,0.503355704697986,0.174496644295302,-0.344519015659955,-0.384787472035794
"MANGCHEFER",2016-01-01,2025-03-11,-0.198466317186022,2022-10-31,-0.0451643997234743,-0.0887357239279724,-0.113178147496331,-0.14824652652836,-0.0988306542186513,0.0494158723097087,0.128055575546236
"MANGLMCEM",2016-01-01,2025-03-11,-0.199999369504841,2020-03-23,0.0595029337704764,0.158809783700925,0.146058029152497,0.213292403721494,0.387557187836181,0.545594615575582,0.974256114813075
"MARKSANS",2016-01-01,2025-03-11,-0.200000526455716,2016-01-15,-0.0905438620158661,-0.0248388550896784,0.0448721534356193,-0.302083778901615,-0.258012825785818,-0.306890980820547,-0.210491940286721
"MBLINFRA",2016-01-01,2025-03-11,-0.199586349534643,2016-08-31,-0.099483204134367,0.0781653746770026,0.436692506459949,0.330103359173127,0.0439276485788123,-0.315245478036175,-0.638242894056847
"MCLEODRUSS",2016-01-01,2025-03-11,-0.2,2019-04-30,-0.160655737704918,-0.35,-0.466393442622951,-0.433606557377049,-0.819672131147541,-0.847540983606557,-0.94016393442623
"MFSL",2016-01-01,2025-03-11,-0.292335990190067,2020-03-23,0.0507710968636284,0.378790504245365,0.230982498700398,0.456073470802287,0.616011089932421,0.882342748223878,1.49488823427482
"M&MFIN",2016-01-01,2025-03-11,-0.324924052613267,2020-07-22,-0.0341224326025749,-0.127721320207813,-0.174195623750458,-0.103671317786556,-0.199871327471585,0.120896833687298,-0.0182009366806638
"MOLDTKPAC",2016-01-01,2025-03-11,-0.199997712645354,2020-03-23,0.0943066476054324,0.171465332380272,0.171465332380272,0.22976411722659,0.273659756969264,0.951987133666905,1.25619728377412
"MOREPENLAB",2016-01-01,2025-03-11,-0.2,2019-09-25,-0.0201149425287355,-0.0833333333333333,-0.100574712643678,-0.0632183908045972,-0.129310344827586,-0.186781609195401,0.270114942528737
"MOTHERSON",2016-01-01,2025-03-11,-0.224000514071676,2020-03-12,-0.0596457954909713,-0.0552275884175659,-0.0552275884175664,0.0478656907789288,0.403534031413612,0.46980980874025,1.41678865263383
"MOTILALOFS",2016-01-01,2025-03-11,-0.199504287191537,2020-03-23,-0.0597593340973521,-0.000206084001849627,0.00834388885537951,-0.0115407041035851,0.171853951786396,0.46929851016346,0.344426684359732
"MOTOGENFIN",2016-01-01,2025-03-11,-0.20516717325228,2017-08-16,-0.00956022944550672,-0.0248565965583174,0.0325047801147225,0.00956022944550639,0.206500956022945,0.52963671128107,0.497131931166348
"MRPL",2016-01-01,2025-03-11,-0.198594827709312,2020-03-23,-0.00438346400570211,-0.0219306842480399,0.0657920527441196,0.41886136849608,0.460526550249465,0.44298378474697,0.776318602993583
"MTEDUCARE",2016-01-01,2025-03-11,-0.2,2019-07-03,0.0608465608465609,0.0185185185185186,-0.132275132275132,-0.346560846560847,-0.283068783068783,-0.525132275132275,-0.683862433862434
"MUKANDLTD",2016-01-01,2025-03-11,-0.198675220796534,2020-03-12,-0.0137711925598589,-0.283747797706727,-0.258955029893423,-0.104681858879935,-0.101926465066574,0.195592525200012,2.64187967536031
"NAGREEKCAP",2016-01-01,2025-03-11,-0.376470588235294,2020-05-13,0,0,0.0943396226415094,0.273584905660378,-0.0849056603773582,-0.0377358490566032,0.0471698113207559
"NAHARCAP",2016-01-01,2025-03-11,-0.200000683336665,2016-02-11,-0.0998056759700185,0.0213179867176321,0.0271327596147684,0.089147750325653,0.265504281534947,0.566860278887014,0.71214418415939
"NAHARINDUS",2016-01-01,2025-03-11,-0.190662542576737,2016-02-11,0.01562477047599,0.16586690300499,0.161058528010498,0.194712256459724,0.472356740293888,1.12620270581265,1.2004705548238
"NAHARPOLY",2016-01-01,2025-03-11,-0.199780094265626,2016-02-11,-0.198903142508558,-0.181070324437653,-0.218107032443765,-0.15226300889568,0.174212003837817,0.36351172073961,0.498172891273706
"NAHARSPING",2016-01-01,2025-03-11,-0.196602005096783,2016-02-11,0.0151050884812005,0.0368582871370242,-0.0114808548461292,0.110573561936841,0.268882010338618,0.554681875713088,0.45200002079159
"NATCOPHARM",2016-01-01,2025-03-11,-0.19999186323328,2025-02-13,-0.0942000956471309,-0.185150140825247,-0.208214352309169,NA,NA,NA,NA
"NATHBIOGEN",2016-01-01,2025-03-11,-0.199848556301086,2020-03-12,-0.00142148545476217,-0.251421731642059,-0.331753631508823,0.036256003277245,0.47061606894032,0.891232482542857,0.292180008212807
"NATIONALUM",2016-01-01,2025-03-11,-0.191895919769082,2024-06-04,0.111006154210739,0.155471766557025,0.16606770624748,0.221948760585514,0.0415013705811913,0.427144722914885,NA
"NCLIND",2016-01-01,2025-03-11,-0.193608466673798,2016-02-01,-0.0405601078125052,-0.057342831950936,-0.161402186792522,-0.176940920486048,0.125820270133194,0.321227091793342,0.12651137593592
"NDLVENTURE",2016-01-01,2025-03-11,-0.842243827540334,2022-11-22,0.0493464848672165,0.273584793514182,0.701016083783078,0.759071645942798,0.698839185944225,0.596516071895581,0.967853236965361
"NESCO",2016-01-01,2025-03-11,-0.192928494577051,2020-03-23,0.0971242566763291,0.198074750624859,0.170060325154351,0.0360358766607103,0.121806519766786,0.293841880871087,0.507096482338401
"NETWORK18",2016-01-01,2025-03-11,-0.196569920844327,2022-04-28,-0.0563765736179528,-0.142309797482211,-0.160919540229885,-0.215654077723043,-0.262178434592227,-0.234811165845648,-0.342638204707169
"NIBL",2016-01-01,2025-03-11,-0.2,2019-07-15,-0.19758064516129,-0.30241935483871,-0.314516129032258,-0.451612903225807,-0.435483870967742,-0.427419354838709,-0.64516129032258
"NIF100IETF",2016-01-01,2025-03-11,-0.21622867680959,2016-01-13,-0.0231764705882352,0.0409411764705885,0.0250588235294118,0.078235294117647,0.135294117647059,0.0221176470588236,0.0815294117647065
"NOIDATOLL",2016-01-01,2025-03-11,-0.211267605633803,2016-10-28,0.0785714285714285,0.0178571428571428,-0.139285714285714,-0.0321428571428575,-0.025,-0.153571428571429,-0.4
"NRBBEARING",2016-01-01,2025-03-11,-0.196896625696194,2019-08-02,0.0386408636920603,0.115255516438726,0.204529041066076,0.259159909944924,0.394402226220273,0.257161512620007,-0.103535071590393
"NSIL",2016-01-01,2025-03-11,-0.199130997503929,2020-03-23,0.0850744545769364,0.137134941706106,0.419485166801339,0.350802262495671,0.526838277732886,0.579475932125129,1.27773288699065
"OMAXE",2016-01-01,2025-03-11,-0.2,2020-06-29,-0.199829931972789,-0.445294784580499,-0.570011337868481,-0.609126984126984,-0.60515873015873,-0.61281179138322,-0.625283446712018
"ONELIFECAP",2016-01-01,2025-03-11,-0.396092362344583,2020-04-17,0.0441176470588236,0.235294117647059,0.544117647058824,0.941176470588236,0.794117647058825,0.808823529411767,1.20588235294118
